EmployeeID,Department,JobRole,JobLevel,ManagerID,LocationType,Age,Gender,EducationLevel,YearsAtCompany,YearsSinceLastPromotion,PerformanceRating,HistoricalRatingAvg,CalibrationAdjustedFlag,SelfRating,PeerAvgRating,SubordinateAvgRating,Overall360Score,SelfOtherGap,Leadership360,Collaboration360,OKRCompletionPct,NumOKRsAssigned,WeightedGoalAttainment,EngagementScore,JobSatisfaction,WorkLifeBalanceRating,BurnoutRisk,TrainingHoursLastYear,OvertimeHoursMonthly,AbsenteeismDays,AvgMonthlyHours,ProjectsHandled,PercentSalaryHikeLast,BonusPayoutPct,HighPotentialFlag,PIPHistoryFlag
EMP00654,Marketing,Growth Manager,IC3,MGR0109,Hybrid,40,Female,Master's,9.9,3.1,2.5,2.96,0,3.34,2.73,,2.82,0.61,1.94,2.25,80.3,7,73.3,58.9,3.28,1.65,Medium,39,33.1,1,194,8,6.1,0.69,0,0
EMP00655,Operations,Operations Analyst,IC2,MGR0122,Remote,43,Male,Master's,2.5,1.0,4.0,4.23,0,4.56,3.89,,3.98,0.67,3.63,2.88,82.1,7,79.5,50.9,3.24,3.74,Low,31,16.5,1,169,3,9.3,1.07,0,0
EMP00656,Marketing,Marketing Analyst,IC1,MGR0151,Hybrid,29,Male,Bachelor's,4.2,2.3,4.0,4.45,0,4.25,3.92,,4.11,0.33,3.32,3.49,90.5,5,98.0,63.2,3.91,2.5,Low,27,16.1,1,170,6,10.8,1.2,0,0
EMP00657,Product,UX Researcher,IC3,MGR0119,Hybrid,25,Male,Associate's,1.2,0.5,3.0,2.39,0,3.0,2.83,,3.08,0.17,1.94,2.26,66.4,6,70.9,42.4,1.93,4.09,Medium,8,16.0,0,186,7,6.4,0.36,0,0
EMP00658,HR,Compensation Analyst,M2,MGR0138,Hybrid,28,Male,Master's,0.7,0.5,3.0,2.94,0,3.65,3.23,3.44,3.44,0.42,2.55,2.45,64.9,8,67.8,55.5,3.51,2.3,Low,17,25.4,0,183,11,5.8,0.46,0,0
EMP00659,Finance,Accountant,M2,MGR0018,On-Site,38,Male,Bachelor's,8.1,4.6,3.5,4.12,0,4.22,4.09,3.49,3.93,0.13,3.25,3.23,75.2,8,78.7,53.9,3.39,3.46,Medium,7,36.0,5,217,9,5.2,0.64,0,0
EMP00660,Sales,Account Executive,IC2,MGR0076,Remote,30,Non-Binary,Master's,0.5,0.2,4.5,4.81,0,4.76,4.7,,4.82,0.06,2.55,4.06,100.0,6,100.0,71.3,4.2,3.99,Medium,45,17.6,1,174,4,11.4,1.2,0,0
EMP00661,Customer Success,CS Specialist,IC2,MGR0167,On-Site,33,Male,Master's,5.9,2.7,2.0,1.64,0,2.32,1.49,,2.0,0.83,1.0,1.15,65.0,5,67.3,62.4,2.73,2.49,Medium,13,31.0,4,192,5,1.7,0.44,0,1
EMP00662,HR,Compensation Analyst,IC1,MGR0154,Hybrid,26,Male,Bachelor's,3.5,1.1,2.0,2.44,1,2.16,1.81,,2.09,0.35,2.72,1.31,57.4,5,61.7,59.9,1.87,2.8,Low,1,15.4,3,182,3,6.0,0.34,0,0
EMP00663,Marketing,Marketing Analyst,Director,MGR0011,Hybrid,50,Female,PhD,7.9,4.1,2.0,1.26,0,2.47,1.22,1.84,1.84,1.25,,1.0,54.6,8,51.2,42.8,2.03,2.56,Medium,0,30.6,0,186,11,2.1,0.41,0,1
EMP00664,Operations,Ops Manager,Director,MGR0138,On-Site,35,Male,Bachelor's,5.1,2.3,2.0,2.28,0,2.14,2.62,1.81,2.19,-0.48,1.05,2.15,46.6,8,45.8,41.3,2.65,3.72,Medium,0,24.8,1,163,10,0.0,0.17,0,1
EMP00665,Engineering,Data Engineer,IC3,MGR0131,On-Site,44,Female,Bachelor's,1.3,0.9,3.0,2.96,0,3.27,3.02,,3.07,0.25,2.05,2.33,78.1,6,79.0,74.0,2.87,3.85,Low,36,21.8,4,196,9,4.5,0.59,0,0
EMP00666,Marketing,Marketing Analyst,M1,MGR0062,Hybrid,38,Male,Bachelor's,3.4,1.6,4.5,4.36,1,4.33,4.12,5.0,4.48,0.21,3.71,2.94,97.7,7,87.9,60.3,3.09,1.23,Low,25,32.1,1,191,8,7.0,1.03,1,0
EMP00667,Operations,Supply Chain Specialist,IC3,MGR0071,On-Site,34,Male,Master's,0.5,0.3,2.5,2.13,0,2.9,2.49,,2.58,0.41,2.45,2.12,78.4,7,76.5,51.8,3.7,3.3,Medium,26,31.1,2,188,5,2.3,0.99,0,0
EMP00668,Finance,Financial Analyst,IC3,MGR0061,Hybrid,34,Female,High School,2.6,1.9,2.0,1.36,0,3.0,2.56,,2.31,0.44,1.37,1.72,60.2,6,53.1,47.9,2.19,3.06,Medium,9,16.6,8,175,7,3.3,0.24,0,0
EMP00669,Marketing,Marketing Analyst,IC1,MGR0132,Hybrid,29,Female,PhD,0.5,0.3,2.5,2.07,0,2.94,2.11,,2.5,0.83,1.25,,85.0,4,85.2,49.1,2.77,3.16,Medium,0,33.2,3,202,5,6.6,0.74,0,0
EMP00670,Product,UX Researcher,IC2,MGR0061,Remote,31,Male,Associate's,2.2,1.4,3.5,3.51,0,4.22,3.2,,3.57,1.02,3.09,2.7,91.0,3,79.6,46.9,3.18,4.09,Medium,24,19.9,2,184,9,7.4,0.99,0,0
EMP00671,Engineering,DevOps Engineer,IC3,MGR0136,Remote,26,Female,Bachelor's,0.5,0.4,3.5,3.2,0,4.11,2.99,,3.71,1.12,2.28,2.53,64.9,5,63.4,47.7,3.22,3.44,Medium,11,18.0,1,167,2,5.1,0.37,0,0
EMP00672,Operations,Operations Analyst,IC3,MGR0102,On-Site,26,Female,Bachelor's,12.4,5.3,5.0,5.0,1,5.0,5.0,,5.0,0.0,3.67,4.02,93.9,6,90.6,69.3,3.79,2.4,Medium,47,30.2,2,190,7,9.1,0.96,1,0
EMP00673,Operations,Operations Analyst,IC2,MGR0013,Remote,51,Male,Master's,3.0,2.7,3.0,3.16,0,3.29,2.85,,3.13,0.44,2.64,2.2,58.4,5,51.2,55.2,3.49,3.16,Low,2,22.1,3,182,7,4.0,0.31,0,0
EMP00674,Operations,Operations Analyst,M2,MGR0012,Remote,37,Male,Bachelor's,9.8,8.2,2.0,2.0,1,2.08,1.14,2.54,1.92,0.94,,1.0,72.1,8,69.2,33.7,3.08,4.65,Medium,11,25.7,0,178,6,7.7,0.62,0,1
EMP00675,Finance,Finance Manager,IC1,MGR0035,On-Site,46,Female,PhD,0.5,0.2,3.0,2.71,0,3.69,3.02,,3.3,0.67,3.2,2.15,80.8,3,82.3,62.7,3.47,3.51,Medium,16,25.4,1,173,3,7.5,0.58,0,0
EMP00676,Marketing,Growth Manager,IC2,MGR0182,Remote,28,Male,Master's,4.1,3.4,2.0,2.31,1,2.49,2.23,,2.11,0.26,1.17,1.7,82.1,4,82.0,55.8,2.63,2.21,Medium,33,15.8,0,167,6,5.8,0.59,0,1
EMP00677,Finance,FP&A Analyst,IC3,MGR0051,Remote,24,Female,High School,1.5,1.1,3.0,3.71,0,3.7,2.71,,3.21,0.99,2.22,2.49,72.3,5,69.7,59.7,2.01,2.5,Medium,5,23.0,6,178,7,6.4,0.57,0,0
EMP00678,Customer Success,CS Specialist,IC3,MGR0043,Hybrid,27,Female,Bachelor's,2.3,2.0,2.5,1.89,0,2.84,2.38,,2.77,0.46,1.85,1.57,54.0,6,50.8,56.2,2.62,3.41,Medium,0,42.1,3,193,5,2.8,0.22,0,0
EMP00679,Sales,Sales Manager,IC3,MGR0111,Hybrid,31,Female,Master's,8.3,5.9,5.0,4.77,1,4.58,4.83,,4.8,-0.25,3.48,3.09,100.0,7,86.4,74.3,5.0,2.52,Medium,49,24.1,0,191,7,10.0,1.4,1,0
EMP00680,Sales,Sales Development Rep,IC2,MGR0066,On-Site,35,Male,Master's,15.7,10.0,2.0,1.83,0,2.01,2.14,,2.08,-0.13,,1.49,65.1,4,70.8,63.5,3.47,2.34,Medium,13,21.3,0,197,2,2.7,0.63,0,1
EMP00681,Customer Success,CS Specialist,IC1,MGR0015,Hybrid,33,Male,Bachelor's,1.1,0.3,3.5,3.24,0,4.2,2.82,,3.45,1.38,2.38,2.71,69.8,4,66.4,60.9,3.88,3.4,Medium,9,12.2,2,174,1,5.2,0.66,0,0
EMP00682,Marketing,Growth Manager,IC3,MGR0177,Hybrid,28,Female,Master's,11.8,6.9,4.0,4.13,0,4.22,3.67,,4.01,0.55,4.53,2.82,75.6,5,72.1,58.4,3.4,4.06,Medium,27,17.6,4,175,6,6.1,0.81,1,0
EMP00683,Product,UX Researcher,IC3,MGR0162,Hybrid,35,Male,Bachelor's,4.7,2.0,3.0,2.91,0,3.73,2.79,,3.26,0.94,2.45,2.24,67.7,5,59.7,53.1,3.35,2.56,Medium,5,23.6,2,172,6,3.6,0.42,0,0
EMP00684,Finance,Finance Manager,IC1,MGR0039,Hybrid,36,Male,Bachelor's,12.1,6.0,3.5,3.52,1,4.36,3.67,,4.04,0.69,2.66,2.96,76.2,3,74.9,63.4,3.65,2.34,Medium,12,21.7,6,176,5,5.9,0.49,0,0
EMP00685,Engineering,Data Engineer,IC3,MGR0026,Hybrid,40,Male,Bachelor's,3.3,2.9,2.0,2.19,0,2.67,1.9,,2.47,0.77,1.0,1.31,62.5,7,68.4,38.9,2.43,2.79,Medium,9,34.4,2,199,4,6.0,0.24,0,1
EMP00686,Operations,Ops Manager,IC2,MGR0112,On-Site,46,Male,Bachelor's,13.0,4.6,2.5,2.68,0,3.16,1.94,,2.63,1.22,1.66,1.96,74.2,4,67.8,47.5,2.96,3.21,Medium,30,30.4,2,202,4,7.3,0.69,0,0
EMP00687,Operations,Ops Manager,IC3,MGR0197,Hybrid,32,Non-Binary,Master's,8.9,6.5,3.0,3.34,0,2.22,2.7,,2.88,-0.48,2.74,2.09,69.9,6,64.9,40.0,2.5,3.77,Medium,9,19.6,5,170,6,8.2,0.45,0,0
EMP00688,Marketing,Content Strategist,M1,MGR0176,Hybrid,44,Male,Bachelor's,0.6,0.2,3.5,4.29,0,3.71,3.84,3.7,3.75,-0.13,3.12,3.39,80.7,6,73.3,53.8,2.74,3.83,Medium,13,27.4,0,198,8,5.0,0.85,0,0
EMP00689,Product,Product Manager,IC1,MGR0051,Remote,35,Non-Binary,Bachelor's,1.5,0.5,1.5,1.26,0,1.8,1.0,,1.54,0.8,1.0,1.0,47.9,3,51.1,35.5,1.26,2.72,Medium,0,17.0,1,169,3,0.0,0.22,0,1
EMP00690,Sales,Sales Development Rep,IC1,MGR0111,Hybrid,22,Male,Bachelor's,1.1,0.7,2.0,1.73,0,2.66,2.26,,2.71,0.4,1.27,1.84,64.5,4,62.5,50.8,2.04,3.36,Medium,7,17.2,2,187,4,3.0,0.68,0,1
EMP00691,Sales,Sales Manager,M1,MGR0132,Remote,49,Female,Bachelor's,3.4,1.3,1.5,1.83,1,1.85,1.73,1.51,1.7,0.12,1.0,1.07,41.6,7,44.0,44.1,1.8,1.8,High,0,41.3,2,191,2,0.4,0.0,0,1
EMP00692,Operations,Operations Analyst,IC3,MGR0098,Hybrid,53,Male,Bachelor's,6.5,5.7,2.5,2.87,0,2.2,2.83,,2.36,-0.63,,2.57,76.7,5,81.5,48.6,2.53,2.92,Medium,5,26.6,2,193,7,3.3,0.0,0,0
EMP00693,Marketing,Content Strategist,IC3,MGR0155,On-Site,39,Female,Bachelor's,5.7,2.4,1.0,1.0,0,1.0,1.28,,1.44,-0.28,1.86,1.0,32.3,5,33.5,33.7,2.8,2.46,Medium,0,43.6,0,197,6,0.0,0.0,0,1
EMP00694,Finance,Accountant,M1,MGR0119,Hybrid,35,Female,Master's,5.2,2.2,2.5,3.13,0,2.61,2.88,2.86,2.78,-0.27,2.27,2.35,77.8,8,71.2,50.9,3.1,2.04,Medium,9,29.9,1,211,8,1.6,0.45,0,0
EMP00695,Sales,Sales Development Rep,M1,MGR0170,Remote,32,Male,Master's,1.9,0.6,2.5,2.51,0,3.88,1.77,2.03,2.56,2.11,2.71,,63.5,6,54.5,52.8,3.51,4.11,Medium,9,28.3,2,191,8,3.8,0.49,0,0
EMP00696,Finance,Financial Analyst,Director,MGR0056,On-Site,31,Female,Master's,0.6,0.3,2.5,2.19,0,2.91,2.86,2.49,2.75,0.05,,,84.8,8,75.1,61.7,1.74,2.19,Medium,24,26.5,0,175,12,7.9,0.72,0,0
EMP00697,Product,Product Analyst,IC2,MGR0069,Remote,44,Male,PhD,0.9,0.3,3.5,3.02,0,4.0,3.57,,3.78,0.43,2.7,2.91,85.0,6,87.0,51.5,3.8,4.01,Medium,12,14.9,3,174,3,3.2,0.48,0,0
EMP00698,Sales,Sales Development Rep,IC2,MGR0146,Hybrid,34,Female,Master's,5.4,3.2,3.5,3.62,0,3.21,3.2,,3.21,0.01,2.59,2.85,94.8,4,98.1,59.1,4.07,4.84,Medium,30,22.0,3,186,6,6.8,0.99,0,0
EMP00699,Sales,Sales Development Rep,IC2,MGR0189,Hybrid,48,Non-Binary,Master's,0.6,0.4,5.0,4.81,0,5.0,4.49,,4.66,0.51,3.39,3.79,100.0,6,100.0,73.9,4.79,2.35,Low,62,19.1,2,177,3,13.2,1.23,0,0
EMP00700,HR,Recruiter,IC1,MGR0004,Remote,35,Female,PhD,1.0,0.3,3.5,3.56,0,3.67,3.41,,3.67,0.26,2.43,2.59,82.4,3,75.1,81.6,3.45,3.18,Low,47,19.1,8,181,3,5.7,1.11,0,0
EMP00701,Sales,Sales Development Rep,IC3,MGR0129,On-Site,31,Female,Bachelor's,2.2,1.0,2.5,2.02,0,3.4,3.23,,2.78,0.17,1.79,2.41,67.9,7,60.3,39.4,4.26,3.39,Medium,0,18.7,2,167,7,4.0,0.25,0,0
EMP00702,Customer Success,CS Specialist,IC2,MGR0050,Remote,30,Male,Master's,0.5,0.4,3.5,3.58,0,3.3,3.58,,3.4,-0.28,2.07,3.0,65.6,3,70.9,59.2,3.16,4.16,Low,10,15.7,5,174,3,3.2,0.76,0,0
EMP00703,Engineering,DevOps Engineer,M2,MGR0084,On-Site,29,Male,Bachelor's,1.0,0.6,4.0,3.56,0,4.26,3.73,3.81,3.93,0.53,3.37,2.82,92.4,8,93.9,80.3,2.65,3.71,Low,34,22.5,2,167,8,10.1,0.93,0,0
EMP00704,Customer Success,Onboarding Manager,IC3,MGR0070,Remote,39,Male,Bachelor's,0.6,0.3,1.5,1.41,0,1.6,2.23,,1.64,-0.63,1.79,1.8,45.7,6,47.4,27.9,1.9,3.24,Medium,0,24.6,0,182,4,1.6,0.37,0,0
EMP00705,Marketing,Content Strategist,IC3,MGR0148,Remote,24,Male,Master's,12.1,8.7,2.5,2.46,0,3.05,2.63,,2.69,0.42,1.66,1.73,70.9,6,62.0,53.8,3.54,3.19,Medium,19,40.5,2,221,4,5.0,0.55,0,0
EMP00706,Marketing,Marketing Analyst,IC2,MGR0020,Remote,28,Female,Bachelor's,0.9,0.7,2.5,2.03,1,3.19,2.64,,2.76,0.55,1.58,2.62,68.6,6,65.4,48.7,3.08,2.52,Medium,0,52.6,1,215,3,5.3,0.37,0,0
EMP00707,Finance,Finance Manager,IC1,MGR0174,Remote,45,Male,Bachelor's,7.9,6.0,3.5,3.23,0,3.55,3.5,,3.08,0.05,2.95,2.61,84.2,6,72.9,57.8,3.45,3.95,Medium,30,25.2,5,174,4,4.2,1.14,0,0
EMP00708,Customer Success,CS Manager,IC1,MGR0027,Hybrid,27,Female,Bachelor's,0.5,0.4,4.0,3.85,0,4.62,4.08,,4.29,0.54,2.92,3.44,84.0,5,85.2,80.1,4.02,3.72,Medium,34,37.3,1,194,3,7.1,1.02,0,0
EMP00709,Customer Success,Onboarding Manager,IC2,MGR0026,Hybrid,41,Male,Bachelor's,8.2,3.6,2.5,2.76,0,3.37,1.54,,2.61,1.83,1.78,1.42,67.2,6,65.4,54.8,2.76,4.0,Medium,13,16.7,2,172,5,3.8,0.44,0,0
EMP00710,Customer Success,CS Specialist,IC1,MGR0160,On-Site,22,Male,Bachelor's,3.7,1.3,2.5,2.65,0,3.19,2.45,,2.95,0.74,1.9,2.48,68.9,3,66.3,48.7,3.87,3.03,Medium,8,12.0,0,189,3,2.9,0.61,0,0
EMP00711,Product,Product Analyst,IC3,MGR0010,Remote,46,Female,Master's,7.6,4.0,3.5,3.43,1,3.57,3.68,,3.59,-0.11,3.78,3.04,90.1,7,96.9,68.5,4.48,3.49,Low,24,17.7,0,167,7,3.7,0.91,0,0
EMP00712,Sales,Sales Development Rep,M2,MGR0082,Hybrid,24,Male,Master's,8.1,6.6,2.0,2.03,0,2.13,2.45,1.08,1.89,-0.32,2.47,1.84,75.7,8,78.4,60.1,2.28,3.79,Medium,17,28.1,2,184,9,2.3,0.12,0,1
EMP00713,Engineering,DevOps Engineer,M2,MGR0105,Hybrid,27,Female,Master's,3.6,1.2,4.0,4.23,0,4.21,4.7,4.43,4.45,-0.49,4.16,3.75,98.8,8,100.0,65.5,4.58,2.23,Medium,31,38.4,7,188,7,9.6,0.82,0,0
EMP00714,Finance,Accountant,IC3,MGR0140,Hybrid,40,Male,Bachelor's,10.0,6.5,3.5,3.03,0,4.18,3.79,,3.85,0.39,3.12,2.77,80.6,8,69.5,70.8,2.43,4.24,Medium,29,35.7,5,208,6,7.4,0.87,0,0
EMP00715,Customer Success,CS Specialist,IC1,MGR0088,Hybrid,37,Female,High School,3.5,2.5,3.0,2.22,0,3.47,2.97,,3.28,0.5,1.82,2.77,81.4,2,81.8,47.8,3.06,3.73,Medium,16,26.2,2,168,3,6.6,0.65,0,0
EMP00716,Customer Success,CS Specialist,M1,MGR0024,Hybrid,42,Male,Master's,5.0,2.9,3.0,2.99,0,2.8,2.92,3.1,2.94,-0.12,2.28,2.24,84.2,8,84.8,52.9,3.17,2.14,Medium,27,29.5,0,179,5,6.6,0.65,0,0
EMP00717,HR,Compensation Analyst,M2,MGR0117,Remote,24,Male,Bachelor's,2.2,1.0,2.5,2.35,0,2.79,2.16,2.8,2.58,0.63,1.87,2.26,60.0,8,51.4,52.4,3.26,2.19,Medium,0,22.9,3,185,10,2.5,0.58,0,0
EMP00718,Finance,Accountant,IC1,MGR0179,On-Site,32,Female,PhD,9.8,4.9,2.0,1.7,0,2.95,2.09,,2.23,0.86,1.81,1.48,78.3,5,82.0,47.6,2.45,3.43,Medium,2,12.7,1,185,4,0.0,0.47,0,1
EMP00719,Customer Success,CS Manager,IC3,MGR0166,Hybrid,30,Female,Master's,7.0,2.4,3.0,2.82,0,3.69,3.59,,3.27,0.1,2.25,3.64,75.4,7,67.0,49.1,2.77,5.0,Medium,17,22.0,0,192,7,7.0,0.73,0,0
EMP00720,Finance,Accountant,IC2,MGR0046,Hybrid,26,Male,Master's,0.7,0.3,3.5,2.95,0,3.56,3.27,,3.44,0.29,2.23,2.41,78.4,5,80.4,68.7,4.08,3.13,Low,24,17.3,5,186,5,4.7,1.0,0,0
EMP00721,Sales,Account Executive,M1,MGR0136,Remote,39,Male,Bachelor's,3.4,1.1,3.0,3.05,0,2.69,2.97,3.03,2.9,-0.28,2.44,2.16,75.6,8,65.0,56.0,4.36,3.89,Medium,39,19.1,0,182,7,4.4,0.78,0,0
EMP00722,HR,HR Business Partner,Director,MGR0055,Remote,42,Female,Master's,9.1,6.7,2.5,2.2,0,2.6,2.15,2.19,2.31,0.45,,1.53,56.6,8,56.8,59.9,3.64,3.01,Low,23,26.9,1,188,11,4.6,0.48,0,0
EMP00723,Finance,Accountant,IC1,MGR0078,Hybrid,32,Male,PhD,6.3,5.3,3.0,3.04,0,3.3,3.26,,3.09,0.04,2.7,2.41,83.6,4,82.0,70.7,4.4,3.26,Low,48,18.0,3,191,4,8.3,0.83,0,0
EMP00724,Engineering,Software Engineer,M2,MGR0159,Remote,47,Female,Master's,13.1,8.9,2.5,2.27,0,2.64,2.84,2.18,2.55,-0.2,1.77,2.38,73.4,8,71.3,53.8,2.27,3.99,Medium,17,31.9,4,205,9,9.2,0.72,0,0
EMP00725,Engineering,ML Engineer,IC3,MGR0088,Remote,28,Female,Master's,1.1,0.8,3.0,2.84,1,2.91,2.66,,3.05,0.25,2.86,1.88,60.3,5,56.8,44.3,1.52,4.15,Medium,0,29.2,1,186,8,4.1,0.56,0,0
EMP00726,Marketing,Growth Manager,Director,MGR0016,On-Site,46,Male,Master's,1.8,1.0,3.5,3.64,0,4.03,3.6,3.12,3.58,0.43,3.28,2.54,66.9,8,63.9,58.1,3.97,2.61,Medium,3,27.1,1,184,12,7.4,0.87,0,0
EMP00727,HR,Recruiter,IC2,MGR0148,Hybrid,39,Male,PhD,2.8,1.1,2.5,2.37,0,1.84,1.48,,2.03,0.36,2.24,1.0,61.7,6,59.8,31.7,1.91,3.06,High,2,34.3,2,181,4,0.0,0.17,0,0
EMP00728,HR,HR Business Partner,M1,MGR0038,Hybrid,25,Female,Bachelor's,1.1,0.3,2.0,1.52,0,2.75,1.8,1.69,2.08,0.95,1.23,2.05,44.6,7,41.2,32.1,1.77,2.52,Medium,0,30.4,2,193,6,0.0,0.0,0,0
EMP00729,Marketing,Content Strategist,IC1,MGR0111,Remote,50,Male,Master's,2.0,1.0,4.0,3.77,0,4.6,4.35,,,0.25,,3.14,65.7,5,71.3,44.0,3.28,3.48,Low,19,16.5,1,179,3,6.7,0.63,0,0
EMP00730,Finance,FP&A Analyst,IC2,MGR0015,On-Site,31,Female,Bachelor's,3.1,2.3,2.5,2.88,0,2.97,2.24,,2.79,0.73,1.69,1.85,65.3,5,71.2,51.5,2.98,3.35,Low,0,17.4,0,165,6,0.7,0.42,0,0
EMP00731,HR,Recruiter,IC1,MGR0078,Remote,44,Male,Master's,0.8,0.7,2.5,1.93,0,3.04,1.94,,2.68,1.1,1.0,1.28,59.3,2,54.9,38.3,3.29,2.43,Medium,0,15.1,3,180,4,2.3,0.65,0,0
EMP00732,Engineering,Data Engineer,Director,MGR0076,On-Site,36,Female,Master's,1.2,0.7,2.5,2.99,0,2.69,2.64,2.42,2.58,0.05,3.07,2.25,58.4,8,61.0,28.3,2.21,3.2,Medium,0,27.0,2,177,10,2.2,0.4,0,0
EMP00733,Engineering,Software Engineer,M1,MGR0162,On-Site,37,Male,Bachelor's,0.5,0.3,4.0,3.9,0,4.29,3.86,4.17,4.11,0.43,3.15,3.14,100.0,7,100.0,68.9,3.42,4.03,Low,35,21.2,0,179,6,6.6,0.97,0,0
EMP00734,Customer Success,Onboarding Manager,M1,MGR0072,Hybrid,42,Female,Master's,5.0,2.8,2.5,3.01,0,3.39,2.47,2.35,2.74,0.92,,2.47,69.2,6,74.0,53.4,3.11,3.39,Medium,0,23.1,6,194,4,2.9,0.12,0,0
EMP00735,Sales,Sales Manager,M2,MGR0019,On-Site,41,Male,Bachelor's,1.8,1.0,2.5,3.18,1,2.74,2.52,2.97,2.74,0.22,2.94,1.88,69.5,8,59.1,49.3,2.21,2.44,Medium,6,26.9,1,200,8,3.1,0.2,0,0
EMP00736,HR,HR Business Partner,IC1,MGR0197,Hybrid,32,Male,Bachelor's,1.0,0.7,3.5,3.67,0,3.95,3.72,,3.73,0.23,3.03,3.1,78.2,6,73.1,71.4,2.92,3.46,Low,14,13.5,5,163,3,5.2,0.6,0,0
EMP00737,Finance,Accountant,IC2,MGR0120,Remote,39,Female,Bachelor's,2.8,2.1,2.0,2.03,0,2.51,2.28,,2.48,0.23,3.25,2.14,34.8,4,30.8,39.8,3.4,2.8,Medium,12,26.8,2,181,4,3.6,0.14,0,1
EMP00738,Marketing,Marketing Analyst,IC1,MGR0063,Remote,38,Male,Bachelor's,0.5,0.4,2.0,1.96,0,2.34,2.04,,2.0,0.3,1.02,,47.8,4,45.3,60.6,2.9,3.35,Medium,0,13.0,0,182,1,0.9,0.41,0,1
EMP00739,Marketing,Marketing Analyst,IC1,MGR0105,Hybrid,36,Male,Bachelor's,10.3,7.1,2.5,2.66,0,2.71,2.81,,2.57,-0.1,1.57,2.31,77.7,4,77.2,61.7,2.91,1.88,Medium,24,16.1,0,182,3,6.5,0.69,0,0
EMP00740,Finance,Financial Analyst,IC1,MGR0032,Remote,33,Male,Bachelor's,1.4,0.8,2.0,2.02,0,1.6,1.89,,1.94,-0.29,2.47,1.06,71.5,3,77.0,74.3,1.6,3.72,Medium,5,13.4,1,180,6,4.5,0.58,0,0
EMP00741,Product,UX Researcher,IC2,MGR0110,Hybrid,36,Male,Master's,8.7,7.6,2.5,2.07,0,3.13,2.51,,2.8,0.62,1.52,2.14,51.6,4,54.7,44.3,2.18,3.94,Medium,12,16.9,4,148,3,3.8,0.47,0,0
EMP00742,Operations,Operations Analyst,IC2,MGR0165,Remote,50,Female,Master's,2.8,2.0,3.5,3.38,0,4.23,3.41,,4.0,0.82,2.28,2.78,85.3,4,83.2,69.3,3.73,2.13,Medium,18,18.9,1,167,3,6.0,0.76,0,0
EMP00743,Sales,Sales Development Rep,IC1,MGR0194,On-Site,32,Female,Master's,7.6,4.2,3.0,3.09,0,3.33,2.49,,2.92,0.84,2.16,1.76,64.9,3,55.6,46.8,2.69,3.43,Medium,26,23.1,2,188,4,0.2,0.36,0,0
EMP00744,Marketing,Marketing Analyst,IC1,MGR0007,Hybrid,44,Male,Bachelor's,1.1,0.6,3.5,3.44,0,4.3,3.92,,3.84,0.38,3.37,2.77,68.5,4,63.3,55.5,2.93,2.53,Low,33,19.9,0,195,4,0.5,0.44,0,0
EMP00745,HR,L&D Specialist,IC1,MGR0176,Hybrid,30,Female,Associate's,0.8,0.6,2.0,2.44,1,2.45,1.92,,2.05,0.53,1.23,1.45,65.7,3,57.6,37.8,4.54,3.83,Medium,24,15.6,1,169,1,2.5,0.27,0,0
EMP00746,Sales,Account Executive,Director,MGR0139,On-Site,27,Female,Master's,7.6,4.3,3.5,3.76,0,3.02,3.96,3.42,3.47,-0.94,4.19,2.81,66.7,8,67.6,64.0,3.79,3.55,Medium,27,29.2,1,189,10,8.1,0.46,0,0
EMP00747,HR,Compensation Analyst,M1,MGR0087,Remote,61,Female,Bachelor's,1.0,0.6,4.5,3.57,0,4.38,4.56,4.71,4.55,-0.18,3.54,3.68,84.8,7,86.8,58.5,4.53,4.14,Low,36,20.8,0,170,5,6.8,1.16,0,0
EMP00748,Product,Product Manager,Director,MGR0031,Hybrid,39,Male,PhD,5.5,2.6,1.5,2.09,0,1.6,1.55,1.0,1.38,0.05,2.32,,44.9,8,45.5,31.8,2.4,4.25,High,0,36.6,2,212,12,0.0,0.27,0,0
EMP00749,Engineering,DevOps Engineer,IC2,MGR0172,On-Site,39,Female,Bachelor's,1.7,1.4,3.0,3.03,0,3.06,3.23,,2.93,-0.17,2.13,2.06,67.9,5,62.3,50.9,3.95,2.93,Medium,15,19.3,4,169,6,8.7,0.44,0,0
EMP00750,Sales,Sales Development Rep,IC2,MGR0045,Remote,39,Male,Master's,5.5,3.4,3.5,3.72,0,3.83,3.5,,3.66,0.33,2.16,2.55,84.1,3,90.8,61.3,4.01,3.29,Medium,37,24.1,0,193,5,6.7,0.69,0,0
EMP00751,Customer Success,CS Specialist,M1,MGR0200,Hybrid,46,Male,Master's,9.5,6.0,2.0,2.07,0,1.93,1.69,2.22,1.95,0.24,2.09,1.83,74.8,7,74.6,59.8,4.23,4.64,Low,6,21.0,1,171,9,5.8,0.68,0,1
EMP00752,Marketing,Marketing Analyst,IC2,MGR0056,Hybrid,38,Male,Bachelor's,16.0,10.0,2.5,3.14,0,3.48,2.35,,2.74,1.13,1.22,2.06,29.9,5,29.9,45.4,1.47,1.56,Medium,8,23.0,5,160,5,3.0,0.15,0,0
EMP00753,Sales,Sales Manager,IC2,MGR0160,On-Site,41,Male,Associate's,1.8,1.5,2.5,2.28,0,1.94,2.81,,2.5,-0.87,1.13,1.82,97.1,4,100.0,41.2,2.72,2.2,Medium,19,34.9,4,199,4,4.9,0.56,0,0
